date.0,date.1,date.2,date.3,date.4,date.5,date.6,date.7,date.8
2055-09-23,23/09/2055,09/23/2055,"23rd September, 2055","September 23rd, 2055",2055/09/23,"September 23rd, 2055",23-09-2055,23 Sep 2055
2022-10-15,15/10/2022,10/15/2022,"15th October, 2022","October 15th, 2022",2022/10/15,"October 15th, 2022",15-10-2022,15 Oct 2022
1952-11-16,16/11/1952,11/16/1952,"16th November, 1952","November 16th, 1952",1952/11/16,"November 16th, 1952",16-11-1952,16 Nov 1952
2061-05-23,23/05/2061,05/23/2061,"23rd May, 2061","May 23rd, 2061",2061/05/23,"May 23rd, 2061",23-05-2061,23 May 2061
2017-06-21,21/06/2017,06/21/2017,"21st June, 2017","June 21st, 2017",2017/06/21,"June 21st, 2017",21-06-2017,21 Jun 2017
2093-07-29,29/07/2093,07/29/2093,"29th July, 2093","July 29th, 2093",2093/07/29,"July 29th, 2093",29-07-2093,29 Jul 2093
2089-07-25,25/07/2089,07/25/2089,"25th July, 2089","July 25th, 2089",2089/07/25,"July 25th, 2089",25-07-2089,25 Jul 2089
1925-12-14,14/12/1925,12/14/1925,"14th December, 1925","December 14th, 1925",1925/12/14,"December 14th, 1925",14-12-1925,14 Dec 1925
2061-01-17,17/01/2061,01/17/2061,"17th January, 2061","January 17th, 2061",2061/01/17,"January 17th, 2061",17-01-2061,17 Jan 2061
2037-02-14,14/02/2037,02/14/2037,"14th February, 2037","February 14th, 2037",2037/02/14,"February 14th, 2037",14-02-2037,14 Feb 2037
1929-08-21,21/08/1929,08/21/1929,"21st August, 1929","August 21st, 1929",1929/08/21,"August 21st, 1929",21-08-1929,21 Aug 1929
1995-08-17,17/08/1995,08/17/1995,"17th August, 1995","August 17th, 1995",1995/08/17,"August 17th, 1995",17-08-1995,17 Aug 1995
1973-04-06,06/04/1973,04/06/1973,"6th April, 1973","April 6th, 1973",1973/04/06,"April 6th, 1973",06-04-1973,06 Apr 1973
1966-05-16,16/05/1966,05/16/1966,"16th May, 1966","May 16th, 1966",1966/05/16,"May 16th, 1966",16-05-1966,16 May 1966
1995-04-03,03/04/1995,04/03/1995,"3rd April, 1995","April 3rd, 1995",1995/04/03,"April 3rd, 1995",03-04-1995,03 Apr 1995
1980-05-24,24/05/1980,05/24/1980,"24th May, 1980","May 24th, 1980",1980/05/24,"May 24th, 1980",24-05-1980,24 May 1980
1964-03-12,12/03/1964,03/12/1964,"12th March, 1964","March 12th, 1964",1964/03/12,"March 12th, 1964",12-03-1964,12 Mar 1964
2020-12-27,27/12/2020,12/27/2020,"27th December, 2020","December 27th, 2020",2020/12/27,"December 27th, 2020",27-12-2020,27 Dec 2020
