year,month,date,string
1992,January,10,['10/01/1992']
2086,June,27,"['27/06/2086', '2086/06/27', 'June 27th, 2086', '06/27/2086', '27-06-2086', '27th June, 2086', '27 Jun 2086']"
1964,May,14,"['14/05/1964', 'May 14th, 1964', '1964-05-14', '1964/05/14', '05/14/1964', '14th May, 1964', '14-05-1964']"
2000,November,14,"['2000-11-14', '11/14/2000', '14 Nov 2000', '14-11-2000', 'November 14th, 2000', '2000/11/14', '14/11/2000', '14th November, 2000']"
1933,September,30,"['September 30th, 1933', '30th September, 1933', '30-09-1933', '30 Sep 1933', '1933-09-30', '30/09/1933', '1933/09/30', '09/30/1933']"
2079,August,22,"['22/08/2079', '2079/08/22', '22nd August, 2079']"
2025,April,12,"['12 Apr 2025', '04/12/2025', '2025-04-12', '2025/04/12', '12/04/2025', '12-04-2025', 'April 12th, 2025']"
1961,November,2,"['1961/11/02', '11/02/1961', 'November 2nd, 1961', '02-11-1961']"
2054,July,31,"['31st July, 2054']"
1945,December,31,"['1945/12/31', '31st December, 1945', '12/31/1945', 'December 31st, 1945', '31/12/1945', '31 Dec 1945']"
1920,July,25,"['July 25th, 1920', '25-07-1920', '1920-07-25', '1920/07/25', '07/25/1920', '25th July, 1920', '25 Jul 1920']"
2089,September,1,['09/01/2089']
1944,June,27,"['06/27/1944', '1944/06/27', '1944-06-27']"
1973,January,8,"['01/08/1973', 'January 8th, 1973', '08-01-1973', '8th January, 1973', '1973-01-08', '08/01/1973']"
1941,January,1,"['01/01/1941', '1941-01-01']"
2036,April,2,"['02 Apr 2036', '04/02/2036', 'April 2nd, 2036', '2nd April, 2036', '2036-04-02', '02/04/2036', '2036/04/02']"
2060,December,10,"['2060/12/10', '2060-12-10']"
2028,October,19,['2028-10-19']
1980,April,25,['25 Apr 1980']
1903,September,13,"['09/13/1903', '13th September, 1903', 'September 13th, 1903']"
1930,June,8,"['06/08/1930', '1930-06-08', '8th June, 1930', 'June 8th, 1930', '08-06-1930', '1930/06/08']"
2089,September,27,"['27 Sep 2089', '2089/09/27', '09/27/2089', '27/09/2089', '27th September, 2089', '27-09-2089', 'September 27th, 2089']"
1944,August,8,"['August 8th, 1944', '1944/08/08', '08 Aug 1944', '08/08/1944', '8th August, 1944']"
2085,June,16,"['June 16th, 2085', '2085/06/16', '2085-06-16', '06/16/2085', '16th June, 2085', '16-06-2085']"
1947,April,19,"['1947-04-19', '19-04-1947', 'April 19th, 1947', '19th April, 1947', '1947/04/19']"
2046,August,28,['2046/08/28']
1937,May,23,"['05/23/1937', 'May 23rd, 1937', '23/05/1937', '1937-05-23', '1937/05/23', '23 May 1937', '23rd May, 1937', '23-05-1937']"
2097,September,14,"['09/14/2097', '2097/09/14', '14-09-2097', '14 Sep 2097', 'September 14th, 2097', '14/09/2097']"
1975,November,13,"['13-11-1975', '1975-11-13', '13 Nov 1975', '13th November, 1975', '1975/11/13', '11/13/1975']"
2087,October,27,"['10/27/2087', '2087-10-27', '27 Oct 2087']"
2048,April,1,['2048-04-01']
1916,November,29,"['29/11/1916', '29th November, 1916', '11/29/1916', 'November 29th, 1916', '1916-11-29', '29-11-1916', '29 Nov 1916']"
1942,January,4,"['01/04/1942', '04/01/1942', 'January 4th, 1942', '1942-01-04', '1942/01/04', '04-01-1942', '4th January, 1942', '04 Jan 1942']"
2084,January,13,"['2084/01/13', '13 Jan 2084', '13th January, 2084', '2084-01-13', '13-01-2084', '01/13/2084', 'January 13th, 2084', '13/01/2084']"
2058,September,20,"['09/20/2058', '20/09/2058', '20-09-2058', '20 Sep 2058', '2058-09-20']"
1900,December,26,"['26/12/1900', '26-12-1900']"
1936,November,12,"['12 Nov 1936', '1936/11/12']"
1956,October,27,"['October 27th, 1956', '1956-10-27', '27/10/1956', '1956/10/27']"
1906,October,11,"['10/11/1906', 'October 11th, 1906', '11-10-1906']"
1943,April,27,"['1943/04/27', '27 Apr 1943', 'April 27th, 1943', '27/04/1943', '27-04-1943']"
2026,December,23,"['23/12/2026', '23 Dec 2026', '23rd December, 2026', '12/23/2026', '2026/12/23', 'December 23rd, 2026', '23-12-2026', '2026-12-23']"
2063,July,12,"['12-07-2063', '12th July, 2063', '12 Jul 2063', 'July 12th, 2063', '07/12/2063', '12/07/2063']"
2055,August,29,"['08/29/2055', '29 Aug 2055', 'August 29th, 2055', '29-08-2055']"
1942,July,7,"['07 Jul 1942', '7th July, 1942', '07/07/1942']"
2070,March,29,"['29 Mar 2070', '29/03/2070', '2070/03/29', '2070-03-29', '29-03-2070', '03/29/2070']"
1957,October,12,"['October 12th, 1957', '10/12/1957', '1957/10/12', '12/10/1957', '12-10-1957', '12 Oct 1957']"
2074,February,18,"['February 18th, 2074']"
2000,September,23,"['2000/09/23', '2000-09-23']"
2022,March,6,"['06 Mar 2022', '06/03/2022', '2022/03/06', '2022-03-06', '06-03-2022', 'March 6th, 2022']"
2061,July,7,"['7th July, 2061', '07 Jul 2061', '2061/07/07', '2061-07-07', '07/07/2061']"
1936,August,3,"['August 3rd, 1936', '03/08/1936', '1936/08/03', '1936-08-03', '03-08-1936', '08/03/1936', '03 Aug 1936', '3rd August, 1936']"
1934,November,22,"['November 22nd, 1934', '11/22/1934']"
2034,July,10,['07/10/2034']
1992,October,13,"['13/10/1992', '1992/10/13', '13th October, 1992', '13 Oct 1992', '10/13/1992']"
1925,September,4,"['1925/09/04', 'September 4th, 1925', '09/04/1925', '04 Sep 1925']"
1936,June,19,"['1936/06/19', '06/19/1936', 'June 19th, 1936', '19-06-1936', '1936-06-19', '19/06/1936', '19 Jun 1936', '19th June, 1936']"
2055,March,19,"['03/19/2055', 'March 19th, 2055', '19th March, 2055', '2055-03-19', '19/03/2055']"
2052,July,6,"['2052-07-06', '2052/07/06', '06 Jul 2052', 'July 6th, 2052', '06/07/2052', '06-07-2052', '6th July, 2052']"
1969,March,31,"['March 31st, 1969', '31-03-1969', '31 Mar 1969', '03/31/1969', '31st March, 1969', '1969/03/31', '1969-03-31']"
2015,May,21,"['21 May 2015', '21-05-2015', 'May 21st, 2015', '05/21/2015', '21/05/2015']"
1975,November,23,"['23/11/1975', '23 Nov 1975', '1975/11/23', '23-11-1975', '23rd November, 1975', '1975-11-23', 'November 23rd, 1975', '11/23/1975']"
1945,April,9,"['9th April, 1945', '1945-04-09', '1945/04/09', '09 Apr 1945', '09/04/1945', '04/09/1945', 'April 9th, 1945', '09-04-1945']"
2088,February,3,['02/03/2088']
2086,July,24,"['24th July, 2086', '24/07/2086', '2086/07/24', '2086-07-24', '07/24/2086']"
2025,October,30,"['2025/10/30', '30th October, 2025', '10/30/2025', '30-10-2025', '2025-10-30', '30/10/2025', 'October 30th, 2025', '30 Oct 2025']"
2043,July,2,"['2043-07-02', '2043/07/02', '02 Jul 2043', 'July 2nd, 2043', '02/07/2043', '02-07-2043']"
1903,July,18,['18 Jul 1903']
2006,June,18,"['18-06-2006', '2006-06-18', '18/06/2006']"
2099,August,22,"['22 Aug 2099', '22-08-2099', '2099-08-22', '2099/08/22']"
2038,June,29,"['29th June, 2038', '29/06/2038', '29 Jun 2038', '2038-06-29', '29-06-2038']"
2035,February,22,"['22/02/2035', '02/22/2035', '22nd February, 2035', 'February 22nd, 2035', '22 Feb 2035', '22-02-2035']"
2037,February,2,"['02/02/2037', '2nd February, 2037', '2037/02/02', '02 Feb 2037']"
2077,June,18,['06/18/2077']
1910,July,23,"['23rd July, 1910', '23/07/1910', '23-07-1910']"
1971,May,24,['24/05/1971']
2092,August,20,"['08/20/2092', '2092/08/20', '2092-08-20', '20/08/2092', '20-08-2092', '20 Aug 2092', 'August 20th, 2092', '20th August, 2092']"
1968,September,26,"['September 26th, 1968', '26/09/1968', '1968-09-26', '09/26/1968', '26th September, 1968', '1968/09/26', '26-09-1968', '26 Sep 1968']"
1930,February,27,"['1930-02-27', '27th February, 1930', '27/02/1930', '27-02-1930', '1930/02/27', '02/27/1930']"
1969,September,16,['16-09-1969']
2011,April,25,"['04/25/2011', '25th April, 2011', '2011-04-25', '25-04-2011', '25/04/2011']"
2028,September,6,"['6th September, 2028', '06-09-2028', '2028-09-06']"
1921,October,8,"['08-10-1921', '1921-10-08', 'October 8th, 1921', '8th October, 1921', '10/08/1921', '08/10/1921', '1921/10/08']"
1996,June,26,"['06/26/1996', '1996-06-26', '1996/06/26', '26th June, 1996', '26 Jun 1996', 'June 26th, 1996', '26/06/1996']"
2059,August,28,"['28 Aug 2059', 'August 28th, 2059', '08/28/2059', '2059/08/28', '28th August, 2059', '28-08-2059', '28/08/2059']"
1943,October,12,"['October 12th, 1943', '10/12/1943']"
1996,February,11,['02/11/1996']
2038,December,29,['2038-12-29']
2011,March,14,"['2011-03-14', '14/03/2011', '14th March, 2011', '2011/03/14']"
2014,September,19,"['19-09-2014', '09/19/2014', '19/09/2014', 'September 19th, 2014', '19 Sep 2014', '2014-09-19']"
2051,April,19,"['19th April, 2051', '2051-04-19', '04/19/2051', '19-04-2051', '19/04/2051', '19 Apr 2051']"
